# Time-averaged data for fix 2
# TimeStep c_KE c_PE c_PRESS c_TEMP
420 1921.21 -52.9984 0.0521389 2.56675
421 1921.91 -53.6937 0.0520193 2.56768
422 1922.81 -54.6239 0.0518555 2.56889
423 1923.73 -55.5563 0.0516826 2.57011
424 1924.52 -56.3362 0.0515248 2.57117
425 1925.13 -56.9403 0.05139 2.57198
426 1925.57 -57.3634 0.0512803 2.57257
427 1925.86 -57.6602 0.0511906 2.57296
428 1926.05 -57.8375 0.0511189 2.57321
429 1926.14 -57.9383 0.0510609 2.57333
430 1926.14 -57.9548 0.0510176 2.57334
431 1926.03 -57.828 0.0509954 2.57319
432 1925.76 -57.5256 0.0509991 2.57282
433 1925.29 -57.0622 0.0510287 2.5722
434 1924.65 -56.4308 0.0510816 2.57135
435 1923.96 -55.726 0.0511399 2.57043
436 1923.45 -55.1886 0.051166 2.56974
437 1923.38 -55.1123 0.0511158 2.56965
438 1923.9 -55.6122 0.0509687 2.57034
439 1924.95 -56.678 0.0507312 2.57175
440 1926.3 -58.0441 0.0504433 2.57355
441 1927.72 -59.4671 0.0501442 2.57544
442 1929.05 -60.8007 0.0498597 2.57722
443 1930.22 -61.9643 0.0496046 2.57878
444 1931.2 -62.9436 0.0493846 2.5801
445 1931.98 -63.7265 0.0492048 2.58114
446 1932.55 -64.2704 0.0490713 2.5819
447 1932.89 -64.6107 0.0489833 2.58235
448 1933.01 -64.7146 0.0489436 2.58252
449 1932.94 -64.6443 0.0489461 2.58241
450 1932.68 -64.3948 0.0489889 2.58207
451 1932.29 -64.0164 0.0490648 2.58155
452 1931.8 -63.5362 0.0491679 2.58089
453 1931.24 -63.0027 0.0492905 2.58014
454 1930.64 -62.415 0.0494288 2.57935
455 1930.04 -61.7977 0.0495777 2.57855
456 1929.45 -61.2108 0.0497298 2.57776
457 1928.88 -60.6333 0.0498845 2.57699
458 1928.35 -60.131 0.0500339 2.57628
459 1927.88 -59.6605 0.0501781 2.57565
460 1927.51 -59.3125 0.050306 2.57516
461 1927.27 -59.0795 0.050415 2.57484
462 1927.18 -58.9764 0.0505019 2.57472
463 1927.23 -59.0061 0.0505655 2.57479
464 1927.46 -59.226 0.0505997 2.57509
465 1927.89 -59.6499 0.0506003 2.57567
466 1928.61 -60.3852 0.0505542 2.57663
467 1929.66 -61.4518 0.0504577 2.57804
468 1931.03 -62.8272 0.0503168 2.57986
469 1932.57 -64.3605 0.0501565 2.58193
470 1934.08 -65.8614 0.0500116 2.58394
471 1935.29 -67.1018 0.0499224 2.58556
472 1935.97 -67.8155 0.0499304 2.58647
473 1935.92 -67.7804 0.0500701 2.5864
474 1934.96 -66.8287 0.0503674 2.58511
475 1932.95 -64.8467 0.0508377 2.58244
476 1929.89 -61.7581 0.0514839 2.57834
477 1925.94 -57.7851 0.052268 2.57307
478 1921.6 -53.3992 0.0531079 2.56726
479 1917.65 -49.414 0.0538718 2.562
480 1914.94 -46.7142 0.05442 2.55837
481 1913.87 -45.6556 0.0546881 2.55694
482 1914.22 -46.0533 0.0547042 2.55741
483 1915.41 -47.2786 0.0545616 2.55899
484 1916.87 -48.7516 0.0543492 2.56094
485 1918.25 -50.158 0.0541208 2.56279
486 1919.38 -51.2912 0.0539094 2.5643
487 1920.21 -52.1214 0.0537248 2.56541
488 1920.8 -52.699 0.0535614 2.5662
489 1921.36 -53.2136 0.053392 2.56695
490 1922.17 -54.0078 0.0531708 2.56803
491 1923.41 -55.2604 0.0528726 2.56969
492 1925 -56.864 0.0525159 2.57181
493 1926.59 -58.473 0.0521555 2.57394
494 1927.85 -59.7433 0.0518471 2.57562
495 1928.6 -60.4862 0.0516214 2.57662
496 1928.84 -60.7217 0.0514782 2.57694
497 1928.69 -60.5602 0.0514005 2.57674
498 1928.33 -60.185 0.0513615 2.57625
499 1927.89 -59.7239 0.0513403 2.57567
500 1927.44 -59.2897 0.0513216 2.57508
